Angle,Azimuth,FALSE,Mbps_DOWN,Download Bites,Mbps_UP,Upload Bites,Ping,
-45,60,FALSE,0,0,0,0,1000,
-60,60,FALSE,0,0,0,0,1000,
-75,60,FALSE,0,0,0,0,1000,
-90,60,FALSE,0,0,0,0,1000,
-105,60,FALSE,0,0,0,0,1000,
-120,60,FALSE,0,0,0,0,1000,
-135,60,FALSE,0,0,0,0,1000,
-45,50,FALSE,0,0,0,0,1000,
-60,50,FALSE,0,0,0,0,1000,
-75,50,FALSE,0,0,0,0,1000,
-90,50,FALSE,0,0,0,0,1000,
-105,50,FALSE,0,0,0,0,1000,
-120,50,TRUE,62,63629,31,8260,760,
-135,50,FALSE,0,0,0,0,1000,
-45,40,FALSE,0,0,0,0,1000,
-60,40,FALSE,0,0,0,0,1000,
-75,40,FALSE,0,0,0,0,1000,
-90,40,FALSE,0,0,0,0,1000,
-105,40,FALSE,0,0,0,0,1000,
-120,40,FALSE,0,0,0,0,1000,
-135,40,FALSE,0,0,0,0,1000,
-45,30,FALSE,0,0,0,0,1000,
-60,30,FALSE,0,0,0,0,1000,
-75,30,FALSE,0,0,0,0,1000,
-90,30,FALSE,0,0,0,0,1000,
-105,30,FALSE,0,0,0,0,1000,
-120,30,FALSE,0,0,0,0,1000,
-135,30,FALSE,0,0,0,0,1000,
-45,20,FALSE,0,0,0,0,1000,
-60,20,FALSE,0,0,0,0,1000,
-75,20,FALSE,0,0,0,0,1000,
-90,20,FALSE,0,0,0,0,1000,
-105,20,FALSE,0,0,0,0,1000,
-120,20,FALSE,0,0,0,0,1000,
-135,20,FALSE,0,0,0,0,1000,
-45,10,TRUE,23,40542,12,21325,623,
-60,10,FALSE,0,0,0,0,1000,
-75,10,FALSE,0,0,0,0,1000,
-90,10,FALSE,0,0,0,0,1000,
-105,10,TRUE,29,50328,24,6990,1282,
-120,10,TRUE,7,11801,15,4194,771,
-135,10,FALSE,0,0,0,0,1000,
